Date,Open,High,Low,Close,Adj Close,Volume
2014-09-03,223.509995,223.509995,218.029999,219.940002,219.940002,66700
2014-09-04,219.770004,221.750000,218.039993,219.309998,219.309998,46200
2014-09-05,218.300003,218.300003,215.500000,217.050003,217.050003,39400
2014-09-08,216.259995,217.330002,215.270004,216.880005,216.880005,24500
2014-09-09,217.210007,217.210007,214.160004,215.690002,215.690002,42800
2014-09-10,215.039993,216.679993,214.000000,215.839996,215.839996,24000
2014-09-11,215.509995,218.550003,213.369995,217.470001,217.470001,27500
2014-09-12,218.080002,218.830002,216.300003,217.759995,217.759995,34200
2014-09-15,218.960007,221.330002,217.559998,218.470001,218.470001,66300
2014-09-16,217.119995,226.199997,217.119995,225.759995,225.759995,74600
2014-09-17,226.149994,227.360001,221.080002,222.809998,222.809998,59200
2014-09-18,223.800003,224.940002,221.779999,223.509995,223.509995,29300
2014-09-19,223.850006,224.669998,220.830002,221.169998,221.169998,45700
2014-09-22,220.830002,222.199997,217.259995,217.869995,217.869995,27200
2014-09-23,217.500000,218.660004,216.169998,217.139999,217.139999,43200
2014-09-24,217.080002,222.449997,216.500000,221.809998,221.809998,42500
2014-09-25,220.759995,221.509995,217.000000,219.009995,219.009995,32900
2014-09-26,219.009995,221.589996,218.000000,220.190002,220.190002,30700
2014-09-29,219.220001,223.429993,219.000000,222.880005,222.880005,37900
2014-09-30,222.899994,224.000000,220.000000,221.759995,221.759995,56500
2014-10-01,220.699997,220.699997,213.479996,214.970001,214.970001,61900
2014-10-02,214.470001,216.970001,214.470001,216.479996,216.479996,29400
2014-10-03,219.050003,219.050003,217.070007,217.720001,217.720001,21000
2014-10-06,218.429993,218.429993,214.589996,215.449997,215.449997,29400
2014-10-07,214.309998,215.320007,210.100006,210.440002,210.440002,31200
2014-10-08,210.770004,217.250000,210.029999,216.229996,216.229996,33300
2014-10-09,216.199997,216.199997,212.339996,213.470001,213.470001,45000
2014-10-10,211.160004,217.160004,211.160004,213.699997,213.699997,33700
2014-10-13,213.460007,221.500000,212.199997,219.699997,219.699997,47400
2014-10-14,220.399994,224.740005,217.679993,222.270004,222.270004,44400
2014-10-15,219.029999,224.800003,213.229996,222.820007,222.820007,75500
2014-10-16,220.809998,224.789993,218.360001,224.660004,224.660004,61300
2014-10-17,226.500000,226.500000,218.960007,220.539993,220.539993,43200
2014-10-20,220.000000,223.279999,218.429993,221.759995,221.759995,38400
2014-10-21,223.470001,224.850006,221.000000,224.279999,224.279999,29600
2014-10-22,223.759995,224.190002,219.270004,219.809998,219.809998,46600
2014-10-23,221.119995,223.250000,220.110001,223.059998,223.059998,39800
2014-10-24,222.750000,224.500000,221.669998,224.389999,224.389999,21400
2014-10-27,224.020004,225.500000,222.520004,225.119995,225.119995,14700
2014-10-28,225.020004,229.539993,223.639999,229.539993,229.539993,47400
2014-10-29,229.289993,229.500000,225.399994,229.500000,229.500000,30400
2014-10-30,227.539993,233.000000,226.500000,231.380005,231.380005,55500
2014-10-31,237.500000,252.990005,237.399994,249.000000,249.000000,277600
2014-11-03,250.039993,252.029999,241.630005,246.399994,246.399994,144400
2014-11-04,246.500000,249.720001,243.839996,246.660004,246.660004,155600
2014-11-05,247.490005,253.899994,246.600006,252.139999,252.139999,100200
2014-11-06,250.690002,260.000000,250.690002,258.440002,258.440002,79500
2014-11-07,257.540009,260.000000,254.669998,258.899994,258.899994,77100
2014-11-10,258.940002,266.359985,258.290009,266.070007,266.070007,75800
2014-11-11,264.380005,266.079987,262.309998,265.660004,265.660004,70700
2014-11-12,264.000000,277.760010,263.010010,266.510010,266.510010,102200
2014-11-13,265.700012,265.970001,261.959991,262.829987,262.829987,69200
2014-11-14,262.170013,263.779999,261.589996,262.799988,262.799988,46800
2014-11-17,262.750000,263.549988,257.290009,257.709991,257.709991,53600
2014-11-18,257.690002,259.880005,255.860001,257.760010,257.760010,34600
2014-11-19,258.540009,259.779999,251.029999,254.149994,254.149994,57600
2014-11-20,253.440002,255.960007,251.000000,253.820007,253.820007,48400
2014-11-21,257.390015,257.869995,253.149994,254.360001,254.360001,41900
2014-11-24,254.690002,262.100006,254.410004,260.480011,260.480011,95800
2014-11-25,261.149994,262.119995,260.000000,262.119995,262.119995,44000
2014-11-26,261.220001,265.410004,261.000000,264.329987,264.329987,45500
2014-11-28,266.000000,267.779999,262.679993,262.970001,262.970001,19400
2014-12-01,263.100006,263.880005,259.070007,260.019989,260.019989,46400
2014-12-02,261.510010,265.429993,258.000000,264.920013,264.920013,46600
2014-12-03,264.029999,264.899994,262.149994,263.279999,263.279999,31800
2014-12-04,263.179993,264.529999,260.049988,264.100006,264.100006,35900
2014-12-05,263.079987,269.989990,262.140015,269.880005,269.880005,45000
2014-12-08,269.209991,273.350006,267.239990,271.959991,271.959991,61800
2014-12-09,270.369995,281.700012,266.690002,280.059998,280.059998,77000
2014-12-10,282.519989,284.059998,275.179993,278.220001,278.220001,104300
2014-12-11,279.700012,284.450012,279.019989,280.369995,280.369995,62800
2014-12-12,275.739990,280.000000,273.609985,279.399994,279.399994,44700
2014-12-15,282.359985,282.359985,274.399994,277.149994,277.149994,71600
2014-12-16,279.140015,289.380005,275.570007,286.820007,286.820007,96000
2014-12-17,286.500000,288.989990,282.529999,285.070007,285.070007,88200
2014-12-18,289.440002,299.000000,287.299988,297.779999,297.779999,101500
2014-12-19,296.739990,296.929993,288.540009,289.329987,289.329987,82300
2014-12-22,288.480011,295.000000,287.540009,292.899994,292.899994,39600
2014-12-23,291.850006,293.970001,288.089996,290.529999,290.529999,40200
2014-12-24,290.359985,295.470001,288.790009,292.149994,292.149994,33300
2014-12-26,294.420013,296.899994,292.100006,295.739990,295.739990,31700
2014-12-29,296.000000,297.600006,290.709991,294.480011,294.480011,37600
2014-12-30,293.570007,294.179993,287.859985,288.609985,288.609985,46300
2014-12-31,288.899994,294.329987,288.519989,289.540009,289.540009,54400
2015-01-02,290.040009,290.040009,279.000000,280.269989,280.269989,75400
2015-01-05,278.980011,288.549988,278.000000,288.200012,288.200012,85700
2015-01-06,288.350006,294.880005,287.369995,293.570007,293.570007,91500
2015-01-07,297.000000,298.380005,286.679993,287.890015,287.890015,69300
2015-01-08,291.059998,294.329987,288.390015,289.779999,289.779999,54200
2015-01-09,289.000000,290.910004,283.459991,284.040009,284.040009,57700
2015-01-12,285.619995,290.750000,283.079987,290.579987,290.579987,35600
2015-01-13,293.440002,294.970001,287.950012,291.510010,291.510010,45700
2015-01-14,289.540009,293.170013,286.589996,292.899994,292.899994,43500
2015-01-15,294.000000,294.700012,290.540009,291.660004,291.660004,43700
2015-01-16,293.079987,302.000000,292.470001,301.540009,301.540009,59800
2015-01-20,302.000000,309.809998,302.000000,308.649994,308.649994,65700
2015-01-21,307.109985,314.209991,305.730011,311.589996,311.589996,49500
2015-01-22,319.070007,325.000000,315.010010,323.989990,323.989990,130700
2015-01-23,324.040009,324.549988,318.410004,320.829987,320.829987,79300
2015-01-26,320.609985,322.260010,315.170013,319.200012,319.200012,983800
2015-01-27,317.220001,323.690002,314.769989,319.019989,319.019989,112300
2015-01-28,320.369995,320.880005,310.929993,311.760010,311.760010,85400
2015-01-29,311.970001,318.899994,310.029999,318.339996,318.339996,91400
2015-01-30,314.589996,321.989990,313.940002,314.519989,314.519989,116000
2015-02-02,313.549988,316.299988,308.420013,316.010010,316.010010,77400
2015-02-03,315.269989,317.850006,310.269989,316.500000,316.500000,75700
2015-02-04,313.250000,317.750000,312.149994,317.059998,317.059998,44000
2015-02-05,317.140015,319.940002,315.980011,317.279999,317.279999,53800
2015-02-06,316.390015,316.970001,311.059998,313.290009,313.290009,67800
2015-02-09,311.470001,313.000000,303.489990,305.660004,305.660004,101200
2015-02-10,305.820007,306.989990,303.950012,306.000000,306.000000,88400
2015-02-11,304.559998,306.940002,302.029999,302.260010,302.260010,48000
2015-02-12,302.700012,307.109985,302.040009,304.230011,304.230011,88000
2015-02-13,304.000000,305.000000,302.190002,303.260010,303.260010,68100
2015-02-17,304.359985,306.059998,297.690002,303.519989,303.519989,110200
2015-02-18,302.140015,308.190002,301.899994,308.040009,308.040009,75000
2015-02-19,308.079987,311.010010,306.269989,309.769989,309.769989,42400
2015-02-20,310.320007,314.450012,308.470001,313.390015,313.390015,41700
2015-02-23,314.540009,314.540009,310.720001,312.500000,312.500000,61300
2015-02-24,313.600006,314.640015,310.149994,310.709991,310.709991,99000
2015-02-25,268.500000,282.489990,253.009995,278.589996,278.589996,1388600
2015-02-26,277.890015,282.619995,275.000000,278.779999,278.779999,245000
2015-02-27,276.799988,277.000000,266.700012,267.600006,267.600006,212000
2015-03-02,266.989990,268.769989,264.500000,265.670013,265.670013,176100
2015-03-03,265.649994,266.000000,257.549988,258.869995,258.869995,294700
2015-03-04,258.000000,266.000000,257.019989,261.619995,261.619995,166200
2015-03-05,262.000000,263.899994,257.260010,260.519989,260.519989,160900
2015-03-06,258.339996,261.660004,256.010010,257.929993,257.929993,158200
2015-03-09,256.970001,260.609985,256.540009,258.869995,258.869995,121700
2015-03-10,256.000000,259.000000,255.619995,257.239990,257.239990,235800
2015-03-11,257.670013,264.070007,254.500000,262.899994,262.899994,198900
2015-03-12,263.250000,277.450012,261.989990,275.570007,275.570007,268900
2015-03-13,274.649994,274.649994,267.799988,268.839996,268.839996,97200
2015-03-16,271.329987,272.399994,267.160004,270.630005,270.630005,145900
2015-03-17,270.649994,272.190002,262.130005,264.320007,264.320007,180000
2015-03-18,263.329987,267.149994,260.000000,264.279999,264.279999,120000
2015-03-19,263.869995,269.230011,263.320007,267.899994,267.899994,114400
2015-03-20,269.420013,277.880005,269.420013,277.359985,277.359985,242500
2015-03-23,276.309998,276.959991,271.510010,274.619995,274.619995,147600
2015-03-24,275.000000,276.880005,270.190002,271.329987,271.329987,89400
2015-03-25,273.880005,274.619995,264.450012,266.010010,266.010010,159100
2015-03-26,265.959991,268.529999,264.390015,265.660004,265.660004,118100
2015-03-27,264.540009,269.329987,264.000000,268.140015,268.140015,137900
2015-03-30,269.929993,270.750000,266.420013,267.200012,267.200012,116600
2015-03-31,265.950012,268.850006,265.100006,267.399994,267.399994,165800
2015-04-01,266.429993,267.980011,261.559998,264.730011,264.730011,114100
2015-04-02,263.769989,272.700012,262.730011,272.190002,272.190002,147300
2015-04-06,271.820007,272.750000,266.429993,268.929993,268.929993,88200
2015-04-07,269.880005,270.239990,265.700012,266.470001,266.470001,79000
2015-04-08,267.850006,273.109985,267.470001,271.730011,271.730011,60600
2015-04-09,272.489990,273.709991,270.600006,272.829987,272.829987,50900
2015-04-10,273.279999,273.279999,269.649994,270.760010,270.760010,48800
2015-04-13,270.000000,270.489990,265.829987,267.640015,267.640015,45700
2015-04-14,266.730011,267.100006,262.670013,262.989990,262.989990,91000
2015-04-15,262.859985,266.579987,262.500000,264.609985,264.609985,71900
2015-04-16,264.000000,264.010010,260.500000,262.500000,262.500000,73400
2015-04-17,260.920013,261.399994,257.089996,259.299988,259.299988,92500
2015-04-20,260.100006,263.750000,259.089996,261.660004,261.660004,62400
2015-04-21,260.630005,265.640015,260.630005,264.040009,264.040009,60700
2015-04-22,264.000000,264.000000,259.260010,261.440002,261.440002,39700
2015-04-23,261.109985,267.459991,260.309998,263.850006,263.850006,49800
2015-04-24,264.690002,267.309998,263.160004,265.970001,265.970001,53100
2015-04-27,267.179993,269.149994,262.809998,265.350006,265.350006,85700
2015-04-28,266.570007,270.000000,265.220001,268.760010,268.760010,99400
2015-04-29,267.000000,269.739990,259.149994,259.799988,259.799988,153100
2015-04-30,256.989990,257.290009,247.029999,247.800003,247.800003,514700
2015-05-01,243.089996,246.479996,238.429993,244.199997,244.199997,353800
2015-05-04,244.000000,251.410004,243.809998,249.210007,249.210007,114400
2015-05-05,249.000000,256.709991,247.050003,255.080002,255.080002,182300
2015-05-06,255.899994,256.839996,252.529999,253.610001,253.610001,117400
2015-05-07,253.229996,253.229996,246.119995,248.690002,248.690002,131900
2015-05-08,249.759995,252.679993,246.710007,251.289993,251.289993,160500
2015-05-11,250.470001,255.619995,248.940002,250.789993,250.789993,146900
2015-05-12,250.000000,251.929993,245.919998,250.229996,250.229996,56500
2015-05-13,249.960007,252.990005,246.720001,250.279999,250.279999,129700
2015-05-14,250.710007,262.290009,250.710007,262.190002,262.190002,196400
2015-05-15,261.989990,263.809998,259.839996,262.059998,262.059998,100700
2015-05-18,261.470001,263.970001,260.480011,263.950012,263.950012,94500
2015-05-19,263.929993,264.029999,261.329987,263.209991,263.209991,94600
2015-05-20,263.130005,264.540009,261.059998,263.200012,263.200012,39300
2015-05-21,262.459991,264.579987,260.649994,263.600006,263.600006,142000
2015-05-22,264.720001,264.809998,262.200012,263.010010,263.010010,79100
2015-05-26,262.720001,266.619995,260.529999,262.250000,262.250000,140600
2015-05-27,263.290009,264.429993,260.859985,262.040009,262.040009,58900
2015-05-28,262.980011,264.010010,260.000000,263.850006,263.850006,87100
2015-05-29,264.190002,265.790009,260.799988,263.779999,263.779999,87100
2015-06-01,263.739990,264.700012,257.010010,259.679993,259.679993,191600
2015-06-02,259.679993,261.970001,258.649994,260.220001,260.220001,144000
2015-06-03,259.950012,262.540009,259.149994,261.320007,261.320007,64400
2015-06-04,260.940002,261.519989,257.100006,259.309998,259.309998,162200
2015-06-05,258.700012,261.500000,257.299988,260.380005,260.380005,153100
2015-06-08,259.549988,260.940002,253.750000,255.690002,255.690002,190400
2015-06-09,256.040009,257.690002,248.520004,249.350006,249.350006,219500
2015-06-10,249.889999,253.509995,249.009995,249.330002,249.330002,197100
2015-06-11,249.619995,253.100006,249.529999,252.080002,252.080002,175900
2015-06-12,250.750000,254.380005,250.080002,253.229996,253.229996,132100
2015-06-15,252.250000,252.250000,247.240005,248.190002,248.190002,164700
2015-06-16,247.000000,253.990005,247.000000,251.070007,251.070007,142600
2015-06-17,251.729996,253.179993,249.910004,251.800003,251.800003,122300
2015-06-18,253.669998,256.820007,251.960007,254.970001,254.970001,156300
2015-06-19,255.410004,255.410004,249.559998,250.089996,250.089996,107000
2015-06-22,251.389999,251.389999,246.320007,248.490005,248.490005,101800
2015-06-23,248.839996,249.110001,244.520004,245.149994,245.149994,175200
2015-06-24,244.520004,244.520004,238.520004,238.830002,238.830002,245800
2015-06-25,239.139999,240.399994,237.339996,239.619995,239.619995,117400
2015-06-26,240.000000,242.199997,237.000000,237.619995,237.619995,169900
2015-06-29,235.800003,237.470001,231.699997,231.869995,231.869995,97200
2015-06-30,232.350006,235.339996,231.559998,231.990005,231.990005,81600
2015-07-01,233.919998,234.869995,227.850006,228.630005,228.630005,150400
2015-07-02,228.289993,229.979996,227.039993,227.800003,227.800003,173800
2015-07-06,228.259995,229.339996,225.169998,225.880005,225.880005,247700
2015-07-07,225.619995,226.919998,220.500000,225.940002,225.940002,201500
2015-07-08,223.800003,227.259995,223.750000,224.360001,224.360001,99600
2015-07-09,226.990005,229.059998,225.690002,226.080002,226.080002,103400
2015-07-10,228.570007,228.759995,225.029999,227.160004,227.160004,84300
2015-07-13,229.009995,231.179993,228.449997,229.750000,229.750000,82800
2015-07-14,230.399994,231.380005,224.630005,225.259995,225.259995,119800
2015-07-15,226.199997,226.279999,219.500000,220.550003,220.550003,225900
2015-07-16,220.500000,224.320007,220.350006,221.850006,221.850006,155000
2015-07-17,221.759995,226.479996,221.149994,223.250000,223.250000,145600
2015-07-20,223.750000,226.809998,222.110001,222.589996,222.589996,168400
2015-07-21,222.809998,224.979996,222.039993,222.570007,222.570007,156800
2015-07-22,222.850006,223.100006,220.919998,221.660004,221.660004,147800
2015-07-23,221.389999,225.000000,221.220001,222.960007,222.960007,225900
2015-07-24,224.070007,226.250000,223.190002,224.149994,224.149994,169000
2015-07-27,221.199997,222.639999,217.869995,218.210007,218.210007,221300
2015-07-28,218.630005,219.059998,214.210007,218.199997,218.199997,196800
2015-07-29,217.589996,222.770004,217.169998,222.509995,222.509995,223100
2015-07-30,223.820007,225.869995,221.350006,223.470001,223.470001,347300
2015-07-31,216.000000,222.500000,215.000000,220.520004,220.520004,524000
2015-08-03,220.809998,229.889999,220.009995,228.190002,228.190002,255000
2015-08-04,227.630005,235.949997,227.289993,234.779999,234.779999,234700
2015-08-05,235.000000,235.750000,231.229996,233.220001,233.220001,159500
2015-08-06,233.449997,234.960007,230.009995,232.850006,232.850006,171400
2015-08-07,231.380005,235.899994,231.380005,235.070007,235.070007,126000
2015-08-10,235.580002,238.630005,233.470001,234.679993,234.679993,118100
2015-08-11,233.410004,235.309998,231.500000,233.330002,233.330002,100100
2015-08-12,232.929993,235.500000,230.800003,234.300003,234.300003,135400
2015-08-13,235.559998,238.720001,232.080002,235.139999,235.139999,90000
2015-08-14,233.750000,237.929993,232.179993,236.550003,236.550003,117300
2015-08-17,234.839996,237.419998,232.000000,233.910004,233.910004,102300
2015-08-18,232.869995,236.089996,231.440002,232.580002,232.580002,114900
2015-08-19,231.500000,231.500000,224.029999,225.889999,225.889999,207900
2015-08-20,224.009995,225.550003,218.949997,219.240005,219.240005,180000
2015-08-21,215.000000,217.979996,210.250000,213.279999,213.279999,279200
2015-08-24,201.029999,209.570007,195.270004,204.669998,204.669998,303900
2015-08-25,210.020004,212.000000,202.419998,202.610001,202.610001,126900
2015-08-26,205.880005,205.940002,198.410004,205.149994,205.149994,280300
2015-08-27,205.589996,208.610001,204.279999,208.190002,208.190002,143600
2015-08-28,208.179993,209.990005,206.770004,208.419998,208.419998,85400
2015-08-31,208.020004,208.960007,204.009995,205.070007,205.070007,97200
2015-09-01,202.000000,203.000000,196.529999,197.050003,197.050003,160800
2015-09-02,198.389999,201.589996,195.039993,201.500000,201.500000,191600
2015-09-03,201.809998,209.800003,200.830002,208.009995,208.009995,160700
2015-09-04,205.800003,209.649994,205.649994,208.270004,208.270004,116800
2015-09-08,209.570007,209.990005,205.039993,208.229996,208.229996,154500
2015-09-09,209.190002,213.979996,207.860001,213.339996,213.339996,196900
2015-09-10,213.320007,216.190002,213.089996,213.399994,213.399994,113400
2015-09-11,212.949997,216.789993,211.339996,215.710007,215.710007,107000
2015-09-14,215.800003,228.119995,215.509995,227.759995,227.759995,302500
2015-09-15,228.759995,228.759995,219.429993,222.089996,222.089996,234700
2015-09-16,225.479996,226.619995,222.190002,223.039993,223.039993,198900
2015-09-17,223.300003,226.740005,223.000000,224.460007,224.460007,158500
2015-09-18,223.039993,230.110001,221.210007,229.029999,229.029999,264600
2015-09-21,229.289993,231.320007,225.160004,225.940002,225.940002,153900
2015-09-22,223.720001,227.509995,222.759995,225.490005,225.490005,155800
2015-09-23,225.979996,225.979996,215.399994,217.039993,217.039993,160100
2015-09-24,216.000000,217.970001,214.000000,217.479996,217.479996,94900
2015-09-25,218.729996,220.960007,216.000000,217.479996,217.479996,70600
2015-09-28,217.479996,218.880005,213.199997,214.179993,214.179993,73600
2015-09-29,213.509995,215.729996,211.509995,212.630005,212.630005,105400
2015-09-30,214.419998,215.369995,209.750000,210.610001,210.610001,163900
2015-10-01,210.580002,214.029999,205.270004,213.500000,213.500000,132800
2015-10-02,211.270004,211.850006,208.330002,211.110001,211.110001,86700
2015-10-05,212.990005,219.589996,212.830002,219.240005,219.240005,89500
2015-10-06,219.320007,219.320007,212.410004,217.240005,217.240005,119000
2015-10-07,218.839996,222.369995,215.800003,222.169998,222.169998,80400
2015-10-08,221.179993,226.130005,218.630005,225.690002,225.690002,125000
2015-10-09,226.889999,229.830002,225.139999,228.440002,228.440002,99700
2015-10-12,229.229996,229.229996,226.039993,228.350006,228.350006,123100
2015-10-13,228.000000,232.639999,226.800003,227.529999,227.529999,130900
2015-10-14,227.449997,232.839996,227.220001,230.119995,230.119995,118500
2015-10-15,230.919998,235.529999,230.919998,235.039993,235.039993,150100
2015-10-16,236.039993,244.369995,235.270004,240.580002,240.580002,192200
2015-10-19,240.750000,244.369995,240.250000,241.339996,241.339996,164900
2015-10-20,245.000000,259.380005,244.910004,258.429993,258.429993,297300
2015-10-21,259.000000,260.510010,253.149994,255.419998,255.419998,138100
2015-10-22,257.059998,258.640015,253.679993,257.649994,257.649994,84900
2015-10-23,259.679993,259.679993,255.139999,257.779999,257.779999,66200
2015-10-26,258.040009,259.899994,254.399994,255.820007,255.820007,56300
2015-10-27,255.429993,258.019989,247.039993,248.279999,248.279999,94200
2015-10-28,249.360001,249.360001,241.809998,245.949997,245.949997,225500
2015-10-29,244.919998,251.440002,243.699997,244.940002,244.940002,175100
2015-10-30,228.839996,228.839996,212.000000,219.589996,219.589996,562700
2015-11-02,219.869995,227.440002,219.160004,224.800003,224.800003,192800
2015-11-03,223.000000,223.570007,217.619995,217.940002,217.940002,133300
2015-11-04,218.589996,220.050003,214.020004,215.839996,215.839996,185600
2015-11-05,215.979996,216.350006,209.949997,211.270004,211.270004,154300
2015-11-06,210.919998,212.429993,203.759995,210.000000,210.000000,290300
2015-11-09,209.059998,214.250000,207.710007,213.830002,213.830002,123500
2015-11-10,212.990005,213.339996,207.649994,208.509995,208.509995,182400
2015-11-11,209.500000,210.940002,207.850006,209.660004,209.660004,98200
2015-11-12,209.470001,210.279999,205.559998,205.770004,205.770004,188200
2015-11-13,204.970001,205.160004,201.259995,201.899994,201.899994,206600
2015-11-16,201.419998,212.330002,201.419998,209.570007,209.570007,216200
2015-11-17,210.710007,215.119995,210.009995,210.410004,210.410004,113700
2015-11-18,211.410004,214.050003,208.429993,213.399994,213.399994,102600
2015-11-19,214.259995,214.830002,211.580002,212.850006,212.850006,91400
2015-11-20,214.470001,217.100006,212.139999,212.360001,212.360001,92400
2015-11-23,213.000000,214.899994,212.839996,213.699997,213.699997,110700
2015-11-24,211.949997,218.800003,210.470001,215.389999,215.389999,127100
2015-11-25,216.470001,217.419998,212.479996,212.919998,212.919998,80100
2015-11-27,213.029999,219.649994,212.169998,218.490005,218.490005,51000
2015-11-30,217.869995,221.350006,213.250000,213.619995,213.619995,96100
2015-12-01,214.100006,216.000000,212.059998,214.720001,214.720001,169500
2015-12-02,215.000000,215.729996,213.509995,214.429993,214.429993,103900
2015-12-03,215.089996,215.850006,207.500000,207.529999,207.529999,93900
2015-12-04,208.750000,216.440002,207.669998,212.850006,212.850006,94200
2015-12-07,212.899994,216.440002,211.210007,214.000000,214.000000,143500
2015-12-08,212.570007,221.500000,211.960007,220.410004,220.410004,151100
2015-12-09,220.240005,222.570007,214.350006,214.600006,214.600006,135400
2015-12-10,214.350006,221.000000,213.550003,217.710007,217.710007,136600
2015-12-11,215.580002,219.559998,212.610001,213.619995,213.619995,124100
2015-12-14,213.669998,215.750000,203.949997,206.539993,206.539993,208500
2015-12-15,207.880005,208.440002,203.490005,205.490005,205.490005,113700
2015-12-16,206.800003,208.529999,202.000000,207.759995,207.759995,204400
2015-12-17,208.460007,208.940002,206.279999,207.350006,207.350006,105800
2015-12-18,206.210007,207.259995,204.089996,205.240005,205.240005,363300
2015-12-21,207.779999,207.779999,203.699997,204.339996,204.339996,112100
2015-12-22,204.759995,206.550003,203.000000,206.110001,206.110001,142200
2015-12-23,205.960007,207.089996,203.000000,203.830002,203.830002,113000
2015-12-24,203.000000,206.210007,203.000000,205.399994,205.399994,70300
2015-12-28,204.639999,204.899994,202.139999,203.869995,203.869995,72600
2015-12-29,204.100006,204.770004,198.679993,204.250000,204.250000,195600
2015-12-30,204.179993,204.179993,201.509995,202.649994,202.649994,112700
2015-12-31,202.509995,204.649994,200.050003,201.910004,201.910004,100000
2016-01-04,200.589996,201.470001,198.820007,199.250000,199.250000,203000
2016-01-05,199.250000,199.250000,193.369995,194.600006,194.600006,144800
2016-01-06,191.750000,193.050003,189.380005,190.479996,190.479996,221400
2016-01-07,187.839996,193.289993,186.850006,192.139999,192.139999,155400
2016-01-08,191.000000,191.000000,177.020004,177.520004,177.520004,340400
2016-01-11,177.830002,177.869995,169.509995,171.309998,171.309998,271400
2016-01-12,172.360001,173.729996,170.740005,172.419998,172.419998,293900
2016-01-13,172.419998,173.619995,166.320007,167.270004,167.270004,319200
2016-01-14,167.229996,170.300003,165.490005,168.800003,168.800003,325300
2016-01-15,165.000000,167.240005,163.009995,164.000000,164.000000,285800
2016-01-19,165.000000,167.779999,162.550003,166.160004,166.160004,332900
2016-01-20,165.410004,165.449997,160.839996,163.720001,163.720001,238600
2016-01-21,163.389999,166.179993,163.029999,163.949997,163.949997,232200
2016-01-22,164.089996,168.139999,162.570007,164.619995,164.619995,161900
2016-01-25,164.130005,165.639999,161.000000,163.550003,163.550003,148400
2016-01-26,164.500000,169.839996,163.949997,169.500000,169.500000,213900
2016-01-27,169.259995,173.419998,168.059998,171.869995,171.869995,190700
2016-01-28,172.440002,174.589996,168.979996,170.179993,170.179993,177800
2016-01-29,171.419998,179.369995,170.839996,179.250000,179.250000,193800
2016-02-01,180.470001,181.990005,178.289993,178.809998,178.809998,150000
2016-02-02,178.639999,178.639999,173.929993,174.899994,174.899994,123600
